num,us,ms,count,enable,1k,Gx,Gy,Gz
1,0,-170,-72,-864,-98,5323,-257,110
2,0,-171,-73,-865,-99,5319,-257,110
3,0,-170,-73,-865,-99,5321,-258,109
4,0,-171,-74,-865,-99,5319,-257,110
5,0,-170,-74,-866,-99,5320,-257,110
6,0,-170,-72,-865,-100,5318,-256,109
7,0,-170,-72,-865,-99,5315,-255,110
8,0,-171,-73,-865,-99,5318,-258,109
9,0,-172,-73,-865,-98,5315,-259,111
10,0,-171,-74,-865,-98,5317,-258,111
11,1,-171,-73,-865,-99,5316,-256,109
12,1,-171,-73,-866,-98,5317,-259,110
13,1,-171,-73,-866,-99,5317,-257,109
14,1,-170,-72,-865,-99,5319,-258,109
15,1,-171,-73,-865,-100,5320,-257,109
16,1,-171,-73,-865,-98,5316,-258,110
17,1,-170,-73,-865,-100,5318,-258,109
18,1,-170,-72,-864,-100,5320,-257,109
19,1,-170,-71,-864,-100,5322,-257,109
20,1,-170,-72,-865,-99,5319,-258,109
21,2,-170,-73,-866,-98,5318,-257,110
22,2,-171,-72,-866,-100,5319,-257,109
23,2,-171,-73,-866,-99,5322,-256,110
24,2,-170,-72,-865,-99,5321,-257,109
25,2,-169,-71,-865,-100,5320,-258,108
26,2,-169,-71,-865,-100,5322,-257,108
27,2,-171,-72,-865,-101,5322,-258,109
28,2,-171,-73,-866,-100,5318,-258,110
29,2,-172,-73,-866,-100,5320,-257,108
30,2,-171,-72,-866,-100,5320,-257,108
31,3,-172,-74,-866,-102,5317,-261,107
32,3,-171,-74,-866,-101,5314,-261,107
33,3,-170,-71,-864,-101,5318,-257,109
34,3,-170,-73,-865,-99,5318,-257,108
35,3,-171,-73,-866,-101,5321,-258,109
36,3,-171,-73,-866,-100,5316,-259,107
37,3,-172,-73,-866,-100,5316,-259,108
38,3,-170,-73,-866,-99,5318,-258,109
39,3,-170,-72,-866,-100,5315,-258,108
40,3,-171,-73,-866,-100,5318,-258,108
41,4,-172,-72,-865,-101,5316,-259,107
42,4,-171,-73,-865,-100,5314,-256,108
43,4,-171,-73,-865,-102,5315,-259,108
44,4,-172,-72,-865,-101,5314,-261,108
45,4,-171,-74,-865,-100,5314,-259,108
46,4,-170,-72,-867,-101,5318,-260,108
47,4,-172,-73,-866,-101,5317,-259,107
48,4,-170,-73,-866,-103,5315,-259,108
49,4,-171,-74,-866,-101,5314,-259,107
50,4,-173,-73,-865,-101,5316,-261,107
51,5,-172,-74,-866,-102,5317,-261,107
52,5,-171,-74,-866,-101,5314,-261,107
53,5,-171,-73,-866,-101,5313,-260,107
54,5,-172,-72,-866,-100,5319,-260,107
55,5,-170,-72,-866,-102,5315,-261,108
56,5,-171,-72,-865,-103,5316,-261,106
57,5,-171,-73,-865,-102,5313,-261,107
58,5,-171,-72,-865,-102,5316,-261,107
59,5,-172,-72,-865,-101,5317,-262,107
60,5,-171,-72,-865,-102,5316,-261,106
61,6,-171,-72,-865,-101,5315,-264,107
62,6,-171,-73,-864,-102,5312,-262,106
63,6,-170,-72,-865,-103,5315,-263,106
64,6,-171,-71,-865,-101,5314,-262,106
65,6,-170,-74,-864,-101,5313,-264,106
66,6,-170,-73,-864,-102,5314,-262,106
67,6,-171,-72,-865,-102,5312,-263,106
68,6,-171,-73,-865,-102,5311,-262,105
69,6,-171,-74,-863,-102,5312,-264,106
70,6,-172,-73,-865,-101,5315,-264,107
71,7,-171,-73,-865,-102,5311,-263,105
72,7,-170,-74,-865,-102,5310,-264,106
73,7,-172,-73,-865,-101,5309,-264,105
74,7,-172,-73,-865,-103,5310,-264,107
75,7,-172,-74,-866,-103,5310,-263,105
76,7,-172,-75,-866,-102,5311,-265,105
77,7,-171,-73,-866,-102,5310,-262,105
78,7,-171,-72,-865,-103,5312,-263,105
79,7,-171,-73,-865,-103,5315,-264,104
80,7,-172,-73,-864,-104,5312,-263,104
81,8,-171,-73,-864,-105,5303,-269,104
82,8,-172,-73,-865,-105,5310,-265,104
83,8,-172,-73,-865,-104,5309,-265,104
84,8,-172,-73,-865,-105,5309,-262,104
85,8,-171,-74,-865,-105,5303,-264,104
86,8,-172,-73,-865,-105,5308,-267,105
87,8,-172,-73,-864,-105,5308,-265,104
88,8,-171,-73,-865,-105,5309,-264,104
89,8,-172,-73,-864,-105,5307,-266,104
90,8,-171,-73,-865,-105,5305,-268,103
91,9,-171,-73,-864,-105,5305,-269,104
92,9,-171,-73,-865,-105,5302,-269,104
93,9,-171,-73,-865,-105,5302,-269,105
94,9,-171,-73,-865,-105,5303,-270,104
95,9,-172,-73,-865,-105,5302,-269,104
96,9,-171,-74,-864,-105,5301,-270,103
97,9,-170,-74,-865,-104,5302,-268,104
98,9,-171,-73,-864,-105,5300,-269,104
99,9,-171,-72,-865,-105,5299,-269,104
100,9,-171,-72,-863,-105,5302,-270,104
101,10,-171,-73,-864,-105,5303,-269,104
102,10,-172,-73,-865,-104,5305,-270,104
103,10,-172,-74,-865,-104,5301,-269,104
104,10,-171,-73,-865,-106,5303,-270,104
105,10,-172,-72,-864,-105,5303,-269,103
106,10,-171,-73,-864,-105,5301,-270,104
107,10,-171,-73,-864,-106,5301,-269,104
108,10,-172,-73,-864,-106,5301,-271,103
109,10,-171,-72,-864,-105,5301,-271,103
110,10,-172,-72,-864,-105,5301,-270,103
111,11,-171,-72,-864,-106,5303,-271,104
112,11,-172,-72,-863,-106,5299,-271,104
113,11,-171,-73,-864,-106,5301,-269,103
114,11,-170,-73,-863,-107,5295,-271,102
115,11,-170,-73,-864,-105,5299,-271,103
116,11,-172,-72,-863,-105,5299,-270,103
117,11,-172,-72,-863,-107,5295,-271,104
118,11,-170,-72,-864,-105,5297,-272,103
119,11,-171,-71,-864,-106,5300,-273,102
120,11,-171,-73,-864,-105,5301,-270,103
121,12,-171,-73,-863,-105,5301,-270,104
122,12,-171,-73,-864,-107,5298,-271,102
123,12,-172,-73,-864,-106,5297,-270,102
124,12,-172,-73,-864,-106,5298,-272,103
125,12,-172,-73,-864,-106,5296,-271,101
126,12,-171,-73,-863,-107,5297,-271,103
127,12,-173,-72,-864,-106,5296,-271,103
128,12,-172,-73,-864,-106,5299,-271,103
129,12,-170,-72,-864,-107,5298,-272,102
130,12,-172,-72,-865,-107,5300,-271,103
131,13,-172,-74,-866,-108,5302,-271,102
132,13,-172,-73,-865,-108,5299,-270,102
133,13,-172,-73,-865,-109,5300,-271,102
134,13,-172,-74,-864,-108,5301,-270,103
135,13,-172,-73,-864,-106,5299,-271,103
136,13,-171,-73,-863,-108,5303,-271,103
